Mod,GitHub,来源,本地反编译,代码行数,jar
Pam's HarvestCraft 2 - Food Extended,,,Y,476,pamhc2crops-NEOFORGE-1.21.1-1.0.9.jar
Pam's HarvestCraft 2 - Trees,,,Y,1753,pamhc2crops-NEOFORGE-1.21.1-1.0.9.jar
Patchouli,https://github.com/VazkiiMods/Patchouli,已知,,,
Pipez,https://github.com/henkelmax/pipez,已知,,,
Placebo,https://github.com/Shadows-of-Fire/Placebo,已知,,,
playerAnimator,https://github.com/KosmX/fabricPlayerAnimation,已知,,,
PneumaticCraft: Repressurized,https://github.com/TeamPneumatic/pnc-repressurized,已知,,,
Pocket Storage,https://github.com/Flanks255/simplylight,本地 jar 元数据,Y,2080,pocketstorage-1.2.5+1.21.1-b3.jar
PolyLib,https://github.com/CreeperHost/PolyLib,搜索,,,
Polymorph,https://github.com/illusivesoulworks/polymorph,已知,,,
Polymorphic Energistics,https://github.com/62832/PolymorphicEnergistics,搜索,,,
Ponder for KubeJS,https://github.com/AlmostReliable/ponderjs,搜索,,,
Potions Master,,,Y,3071,potionsmaster-21.1.113-1.0.1.jar
Powah! (Rearchitected),https://github.com/owmii/Powah,已知,,,
Prickle,https://github.com/Darkhax-Minecraft/PrickleMC,已知,,,
Prism [Neo/Forge],https://github.com/AHilyard/Prism,已知,,,
Productive Bees,https://github.com/JDKDigital/productive-bees,搜索,,,
Productive Metalworks,https://github.com/JDKDigital/productivemetalworks,本地 jar 元数据,Y,7962,productivemetalworks-1.21.1-1.15.1.jar
Productive Trees,https://github.com/JDKDigital/productivetrees,搜索,,,
Pylons,https://github.com/jeremiahwinsley/pylons,搜索,,,
Quests Lang Splitter,,,Y,690,ftbquestslangsplitter-1.0.7.jar
Railcraft Reborn,https://github.com/Railcraft/Railcraft,已知,,,
Rainbows!,,,Y,2834,Rainbows-1.21-1.5.jar
Ranged Pumps,https://github.com/refinedmods/rangedpumps,搜索,,,
Rebind Narrator,https://github.com/Ocraftyone/rebindnarrator,搜索,,,
Rechiseled,https://github.com/SuperMartijn642/Rechiseled,搜索,,,
Rechiseled: Chipped,,,Y,147,rechiseled_chipped-2.0-1.21.1.jar
Rechiseled: Create,https://github.com/Creators-of-Create/Create,已知,,,
Redstone Pen,https://github.com/stfwi/redstonepen,本地 jar 元数据,Y,10252,redstonepen-1.21-neoforge-1.11.42.jar
Refined Storage,https://github.com/refinedmods/refinedstorage2,搜索,,,
Refined Storage - Curios Integration,https://github.com/TheIllusiveC4/Curios,已知,,,
Refined Storage - JEI Integration,https://github.com/mezz/JustEnoughItems,已知,,,
Refined Storage - Mekanism Integration,https://github.com/mekanism/Mekanism,已知,,,
Refined Storage - Quartz Arsenal,https://github.com/refinedmods/refinedstorage-quartz-arsenal,搜索,,,
Refined Types,https://github.com/starforcraft/Refined-Types,搜索,,,
Regions Unexplored,https://github.com/Apollounknowndev/RegionsUnexplored,搜索,,,
Relics,https://github.com/SSKirillSS/relics,搜索,,,
Reliquary Reincarnations,https://github.com/P3pp3rF1y/Reliquary,搜索,,,
Reliquified Artifacts,https://github.com/Octo-Studios/rar-compat,搜索,,,
Repeatable Trial Vaults,https://github.com/Buuz135/Repeatable-Trial-Vaults,搜索,,,
Repurposed Structures (Neoforge/Forge),https://github.com/TelepathicGrunt/RepurposedStructures,已知,,,
Resourceful Config,https://github.com/Team-Resourceful/Resourceful-Config,已知,,,
Resourceful Lib,https://github.com/Team-Resourceful/ResourcefulLib,已知,,,
Restrictions,https://github.com/Aizistral-Studios/No-Chat-Restrictions,搜索,,,
RFTools Base,https://github.com/McJty/RFToolsBase,已知,,,
RFTools Builder,https://github.com/McJty/RFToolsBuilder,已知,,,
RFTools Power,https://github.com/McJty/RFToolsPower,搜索,,,
RFTools Storage,https://github.com/McJtyMods/RFToolsStorage,搜索,,,
RFTools Utility,https://github.com/McJtyMods/RFToolsUtility,搜索,,,
Rhino,https://github.com/KubeJS-Mods/Rhino,已知,,,
Roots Classic,https://github.com/MysticMods/Roots,已知,,,
Sawmill,https://github.com/TelepathicGrunt/RepurposedStructuresCompatDatapacks,搜索,,,
Scalable Cat's Force,https://github.com/Kotori316/SLP,搜索,,,
Searchables,https://github.com/Jaredlll08/Searchables,已知,,,
Security Craft,https://github.com/Geforce132/SecurityCraft,搜索,,,
ShatterLib | OctoLib,https://github.com/Octo-Studios/octo-lib,已知,,,
Shiny! Mobs,https://github.com/JDKDigital/shinymobs,搜索,,,
Shrink.,https://github.com/gigabit101/Shrink,搜索,,,
Silent Gear,https://github.com/SilentChaos512/Silent-Gear,已知,,,
Silent Gear Metalworks,https://github.com/SilentChaos512/Silent-Gear,已知,,,
Silent Lib (silentlib),https://github.com/SilentChaos512/SilentLib,搜索,,,
Silent's Gems,https://github.com/SilentChaos512/SilentGems,搜索,,,
Simple Backups,https://github.com/ChaoticTrials/SimpleBackups,搜索,,,
Simple Magnets,https://github.com/SuperMartijn642/SimpleMagnets,已知,,,
Simple Weather,https://github.com/Soaryn/XyCraftTracker,本地 jar 元数据,Y,651,simple_weather-1.0.13-hotfix.jar
Simply Light,https://github.com/Flanks255/simplylight,本地 jar 元数据,Y,2691,simplylight-1.5.3+1.21.1-b4.jar
SmartBrainLib (Forge/Fabric/Quilt),https://github.com/Tslat/SmartBrainLib,搜索,,,
Smithing Template Viewer for JEI/EMI,https://github.com/mezz/JustEnoughItems,已知,,,
Sodium,https://github.com/CaffeineMC/sodium,已知,,,
Sodium Extra,https://github.com/FlashyReese/sodium-extra-fabric,已知,,,
Sophisticated Backpacks,https://github.com/P3pp3rF1y/SophisticatedBackpacks,已知,,,
Sophisticated Backpacks Create Integration,https://github.com/Creators-of-Create/Create,已知,,,
Sophisticated Core,https://github.com/P3pp3rF1y/SophisticatedCore,已知,,,
Sophisticated Storage,https://github.com/P3pp3rF1y/SophisticatedStorage,已知,,,
Sophisticated Storage Create Integration,https://github.com/Creators-of-Create/Create,已知,,,
Sophisticated Storage in Motion,https://github.com/P3pp3rF1y/SophisticatedStorage,已知,,,
Soulplied Energistics,,,Y,555,soulplied_energistics-1.0.3.jar
spark,https://github.com/lucko/spark,已知,,,
Spice of Life: Carrot Edition,https://github.com/GTNewHorizons/SpiceOfLife,搜索,,,
StarbuncleMania,https://github.com/Alexthw46/StarbuncleMania,本地 jar 元数据,Y,9072,starbunclemania-1.21.1-1.5.7.jar
Step Crafter,https://github.com/starforcraft/Step-Crafter,搜索,,,
Storage Delight (Forge & Neoforge),https://github.com/axperty/storagedelight,搜索,,,
Structory,https://github.com/Stardust-Labs-MC/Structory-Towers,搜索,,,
Structory: Towers,https://github.com/Stardust-Labs-MC/Structory-Towers,搜索,,,
StructureOverlapless,,,Y,448,overlapless-1.21.1-1.2.0.jar
Structurize,https://github.com/fzzyhmstrs/structurized-reborn-1.0,搜索,,,
Stylecolonies,https://github.com/ldtteam/stylecolonies,本地 jar 元数据,Y,12,stylecolonies-1.15.58-1.21.1.jar
Super Factory Manager ( SFM ),https://github.com/TeamDman/SuperFactoryManager,搜索,,,
SuperMartijn642's Config Lib,https://github.com/SuperMartijn642/SuperMartijn642sConfigLib,已知,,,
SuperMartijn642's Core Lib,https://github.com/SuperMartijn642/SuperMartijn642sCoreLib,已知,,,
Supplementaries,https://github.com/MehVahdJukaar/Supplementaries,已知,,,
Sushi Go Crafting,https://github.com/Buuz135/SushiGoCrafting,搜索,,,
Sussy Sniffers,,,Y,583,sussysniffers-1.21.1-0.1.3.jar
Tempad,https://github.com/terrarium-earth/Tempad,搜索,,,
TerraBlender (NeoForge),https://github.com/Glitchfiend/TerraBlender,已知,,,
Tesseract API (NeoForge),https://github.com/Swedz/tesseract-neoforge,搜索,,,
The Aether,https://github.com/The-Aether-Team/The-Aether,搜索,,,
The Bumblezone (NeoForge/Forge),https://github.com/TelepathicGrunt/Bumblezone,已知,,,
The Twilight Forest,https://github.com/marlester-dev/twilightforest-unofficial,搜索,,,
The Undergarden,https://github.com/quek04/The-Undergarden,搜索,,,
Theurgy,https://github.com/klikli-dev/theurgy,搜索,,,
Theurgy KubeJS,https://github.com/klikli-dev/theurgy-kubejs,搜索,,,
Time in a Bottle,https://github.com/RealMangorage/time-in-a-bottle,搜索,,,
Titanium,https://github.com/Buuz135/titanium,已知,,,
Toast Control,https://github.com/Shadows-of-Fire/Toast-Control,搜索,,,
Tool Belt,https://github.com/BeansGalaxy/Shorthand,搜索,,,
Torchmaster,https://github.com/Xalcon/TorchMaster,已知,,,
Towns and Towers,,,Y,46,塔楼t_and_t-neoforge-fabric-1.13.9+1.21.1.jar
TownTalk,,,Y,153,towntalk-1.2.0.jar
Transfer Labels,https://github.com/Buuz135/Transfer-Labels,搜索,,,
Trash Cans,https://github.com/SuperMartijn642/TrashCans,已知,,,
TrashSlot,https://github.com/TwelveIterations/TrashSlot,搜索,,,
Tree Tap,https://github.com/JDKDigital/treetap,搜索,,,
Underground Villages,https://github.com/Mrbysco/UndergroundVillages,搜索,,,
Universal Grid,https://github.com/starforcraft/Universal-Grid,搜索,,,
Uranus,https://github.com/IAFEnvoy/Uranus,本地 jar 元数据,Y,9133,冰火前置uranus-2.4.1-bugfix-1.21.1-neoforge.jar
Utilitarian,https://github.com/JDKDigital/utilitarian,搜索,,,
Utility Vest,https://github.com/Satherov/Utility-Vest,本地 jar 元数据,Y,2723,utilityvest-1.3.0.jar
Valhelsia Core,,,Y,4470,valhelsia_core-neoforge-1.21.1-1.1.5.jar
Variants&Ventures,https://github.com/Faboslav/variants-and-ventures,搜索,,,
Villages&Pillages,https://github.com/Faboslav/villages-and-pillages,搜索,,,
Waystones,https://github.com/TwelveIterations/Waystones,已知,,,
When Dungeons Arise - Forge!,,,Y,423,DungeonsArise-1.21.1-2.1.68-release.jar
Wireless Chargers,https://github.com/SuperMartijn642/WirelessChargers,搜索,,,
Wither Skeleton Tweaks,https://github.com/Shadows-of-Fire/Wither-Skeleton-Tweaks,搜索,,,
WITS (What Is This Structure?),https://github.com/TelepathicGrunt/WITS,搜索,,,
XNet,https://github.com/McJty/XNet,已知,,,
Xtones Reworked,https://github.com/TobsenD/XTones-Reworked,搜索,,,
XyCraft,https://github.com/XyCraft-Mods/XyCraft,已知,,,
XyCraft: Machines,https://github.com/XyCraft-Mods/XyCraft,已知,,,
XyCraft: Override,https://github.com/XyCraft-Mods/XyCraft,已知,,,
XyCraft: World,https://github.com/XyCraft-Mods/XyCraft,已知,,,
Yeetus Experimentus,,,Y,107,禁止创建加载两遍材质yeetusexperimentus-neoforge-87.0.0.jar
YetAnotherConfigLib,https://github.com/isXander/YetAnotherConfigLib,搜索,,,
YUNG's API (NeoForge) [1.20.4-1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-API,已知,,,
YUNG's Better Desert Temples (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Desert-Temples,已知,,,
YUNG's Better Dungeons (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Dungeons,已知,,,
YUNG's Better End Island (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/yungnickyoung/YUNGs-Better-End-Island,已知,,,
YUNG's Better Jungle Temples (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Jungle-Temples,已知,,,
YUNG's Better Mineshafts (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Mineshafts,已知,,,
YUNG's Better Nether Fortresses (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Fortresses,已知,,,
YUNG's Better Ocean Monuments (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Ocean-Monuments,已知,,,
YUNG's Better Strongholds (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Strongholds,已知,,,
YUNG's Better Witch Huts (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Better-Witch-Huts,已知,,,
YUNG's Extras (NeoForge) [1.20.4 - 1.21.1 ONLY],https://github.com/YUNG-GANG/YUNGs-Extras,搜索,,,
ZeroCore 2,https://github.com/ZeroNoRyouki/ZeroCore2,本地 jar 元数据,Y,45748,ZeroCore2-1.21.1-2.4.21.jar
